Country,Gold Medals
Algeria,1
Argentina,22
Armenia,1
Australia,43
Austria,15
Azerbaijan,3
Bahamas,5
Bahrain,1
Belarus,10
Belgium,2
Brazil,50
Canada,131
China,115
Colombia,4
Cote d'Ivoire,1
Croatia,22
Cuba,10
Czech Republic,9
Denmark,18
Dominican Republic,1
Ethiopia,4
Fiji,13
Finland,2
France,56
Georgia,3
Germany,124
Great Britain,114
Greece,3
Grenada,1
Hungary,24
Individual Olympic Athletes,1
Indonesia,2
Iran,7
Ireland,1
Italy,25
Jamaica,19
Japan,25
Jordan,1
Kazakhstan,10
Kenya,8
Kosovo,1
Latvia,1
Lithuania,2
Mexico,16
Netherlands,38
New Zealand,15
North Korea,6
Norway,49
Poland,10
Puerto Rico,1
Romania,4
Russia,141
Serbia,15
Singapore,1
Slovakia,7
Slovenia,1
South Africa,8
South Korea,30
Spain,14
Sweden,23
Switzerland,74
Tajikistan,1
Thailand,2
Trinidad and Tobago,1
Tunisia,1
Turkey,3
Uganda,1
Ukraine,15
United States,306
Uzbekistan,5
Venezuela,1
Vietnam,1
