Year,Country,Gold Medals,Location
2014,Austria,4,"Sochi, Russia"
2014,Belarus,5,"Sochi, Russia"
2014,Canada,59,"Sochi, Russia"
2014,China,3,"Sochi, Russia"
2014,Czech Republic,2,"Sochi, Russia"
2014,Finland,2,"Sochi, Russia"
2014,France,4,"Sochi, Russia"
2014,Germany,15,"Sochi, Russia"
2014,Great Britain,1,"Sochi, Russia"
2014,Japan,1,"Sochi, Russia"
2014,Netherlands,13,"Sochi, Russia"
2014,Norway,18,"Sochi, Russia"
2014,Poland,4,"Sochi, Russia"
2014,Russia,33,"Sochi, Russia"
2014,Slovakia,3,"Sochi, Russia"
2014,South Korea,7,"Sochi, Russia"
2014,Sweden,8,"Sochi, Russia"
2014,Switzerland,6,"Sochi, Russia"
2014,Ukraine,4,"Sochi, Russia"
2014,USA,10,"Sochi, Russia"
