Year,Country,Gold Medals,Location
2012,Algeria,1,London
2012,Argentina,1,London
2012,Australia,18,London
2012,Azerbaijan,2,London
2012,Bahamas,4,London
2012,Belarus,3,London
2012,Brazil,14,London
2012,Canada,1,London
2012,China,56,London
2012,Colombia,1,London
2012,Croatia,15,London
2012,Cuba,5,London
2012,Czech Republic,4,London
2012,Denmark,3,London
2012,Dominican Republic,1,London
2012,Ethiopia,3,London
2012,France,30,London
2012,Georgia,1,London
2012,Germany,45,London
2012,Great Britain,48,London
2012,Grenada,1,London
2012,Hungary,12,London
2012,Iran,4,London
2012,Ireland,1,London
2012,Italy,16,London
2012,Jamaica,8,London
2012,Japan,7,London
2012,Kazakhstan,7,London
2012,Kenya,2,London
2012,Latvia,1,London
2012,Lithuania,2,London
2012,Mexico,16,London
2012,Netherlands,21,London
2012,New Zealand,9,London
2012,North Korea,4,London
2012,Norway,15,London
2012,Poland,2,London
2012,Romania,2,London
2012,Russia,50,London
2012,Serbia,1,London
2012,Slovenia,1,London
2012,South Africa,6,London
2012,South Korea,18,London
2012,Spain,5,London
2012,Sweden,2,London
2012,Switzerland,2,London
2012,Trinidad and Tobago,1,London
2012,Tunisia,1,London
2012,Turkey,2,London
2012,Uganda,1,London
2012,Ukraine,9,London
2012,United States,145,London
2012,Uzbekistan,1,London
2012,Venezuela,1,London
