Year,Country,Gold Medals, Location
2016,Argentina,21,"Rio de Janeiro, Brazil"
2016,Armenia,1,"Rio de Janeiro, Brazil"
2016,Australia,23,"Rio de Janeiro, Brazil"
2016,Azerbaijan,1,"Rio de Janeiro, Brazil"
2016,Bahamas,1,"Rio de Janeiro, Brazil"
2016,Bahrain,1,"Rio de Janeiro, Brazil"
2016,Belarus,1,"Rio de Janeiro, Brazil"
2016,Belgium,2,"Rio de Janeiro, Brazil"
2016,Brazil,36,"Rio de Janeiro, Brazil"
2016,Canada,4,"Rio de Janeiro, Brazil"
2016,China,47,"Rio de Janeiro, Brazil"
2016,Colombia,3,"Rio de Janeiro, Brazil"
2016,Cote d'Ivoire,1,"Rio de Janeiro, Brazil"
2016,Croatia,7,"Rio de Janeiro, Brazil"
2016,Cuba,5,"Rio de Janeiro, Brazil"
2016,Czech Republic,1,"Rio de Janeiro, Brazil"
2016,Denmark,15,"Rio de Janeiro, Brazil"
2016,Ethiopia,1,"Rio de Janeiro, Brazil"
2016,Fiji,13,"Rio de Janeiro, Brazil"
2016,France,20,"Rio de Janeiro, Brazil"
2016,Georgia,2,"Rio de Janeiro, Brazil"
2016,Germany,49,"Rio de Janeiro, Brazil"
2016,Great Britain,64,"Rio de Janeiro, Brazil"
2016,Greece,3,"Rio de Janeiro, Brazil"
2016,Hungary,12,"Rio de Janeiro, Brazil"
2016,Individual Olympic Athletes,1,"Rio de Janeiro, Brazil"
2016,Indonesia,2,"Rio de Janeiro, Brazil"
2016,Iran,3,"Rio de Janeiro, Brazil"
2016,Italy,8,"Rio de Janeiro, Brazil"
2016,Jamaica,11,"Rio de Janeiro, Brazil"
2016,Japan,17,"Rio de Janeiro, Brazil"
2016,Jordan,1,"Rio de Janeiro, Brazil"
2016,Kazakhstan,3,"Rio de Janeiro, Brazil"
2016,Kenya,6,"Rio de Janeiro, Brazil"
2016,Kosovo,1,"Rio de Janeiro, Brazil"
2016,Netherlands,9,"Rio de Janeiro, Brazil"
2016,New Zealand,6,"Rio de Janeiro, Brazil"
2016,North Korea,2,"Rio de Janeiro, Brazil"
2016,Poland,3,"Rio de Janeiro, Brazil"
2016,Puerto Rico,1,"Rio de Janeiro, Brazil"
2016,Romania,4,"Rio de Janeiro, Brazil"
2016,Russia,52,"Rio de Janeiro, Brazil"
2016,Serbia,14,"Rio de Janeiro, Brazil"
2016,Singapore,1,"Rio de Janeiro, Brazil"
2016,Slovakia,3,"Rio de Janeiro, Brazil"
2016,Slovenia,1,"Rio de Janeiro, Brazil"
2016,Switzerland,6,"Rio de Janeiro, Brazil"
2016,Spain,9,"Rio de Janeiro, Brazil"
2016,South Africa,2,"Rio de Janeiro, Brazil"
2016,South Korea,13,"Rio de Janeiro, Brazil"
2016,Sweden,2,"Rio de Janeiro, Brazil"
2016,Tajikistan,1,"Rio de Janeiro, Brazil"
2016,Thailand,2,"Rio de Janeiro, Brazil"
2016,Turkey,1,"Rio de Janeiro, Brazil"
2016,Ukraine,2,"Rio de Janeiro, Brazil"
2016,United States,139,"Rio de Janeiro, Brazil"
2016,Uzbekistan,4,"Rio de Janeiro, Brazil"
2016,Vietnam,1,"Rio de Janeiro, Brazil"
